,tweet_body,tweet_time,has_train
28,"Tue, Aug 8, 2023 @ 6:35 PM 
Northbound Train Between Harmony and Trilby
Estimated Arrivals:

Harmony - 6:37 PM | Horsetooth - 6:40 PM
Drake - 6:43 PM | Prospect - 6:46 PM
Mulberry - 6:49 PM | College - 6:53 PM
N Lemay - 6:56 PM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/c5sOE3s8OY",Wed Jul 19 22:57:17 +0000 2017,1
29,https://t.co/KDaIjhXAsJ,Wed Aug 09 00:52:39 +0000 2023,0
30,"Tue, Aug 8, 2023 @ 12:19 PM 
Southbound Train Between Harmony and Trilby
Estimated Arrivals:

Trilby: 12:20 PM | W 57th St: 12:30 PM
W 29th St: 12:35 PM | W 1st St: 12:44 PM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/FxQmZdLZXV",Thu Dec 15 16:26:16 +0000 2022,1
31,https://t.co/iRn2lSFxfF,Wed Aug 09 20:43:12 +0000 2023,0
32,"Tue, Aug 8, 2023 @ 12:05 PM 
Southbound Train At College and Cherry
Estimated Arrivals:

Mountain: 12:07 PM | Mulberry: 12:10 PM
Laurel: 12:12 PM | Prospect: 12:14 PM
Drake: 12:16 PM | Horsetooth: 12:18 PM
Harmony: 12:20 PM https://t.co/6sdd7aQic8",Thu Dec 15 16:26:16 +0000 2022,1
33,https://t.co/pcyYzsKdEd,Wed Jul 19 22:57:17 +0000 2017,0
34,"Tue, Aug 8, 2023 @ 11:41 AM 
Northbound Train At College and Cherry St
Estimated Arrivals:

Linden - 11:42 AM
Lemay - 11:44 AM https://t.co/g3naUOF302",Wed Aug 09 00:35:11 +0000 2023,1
35,https://t.co/jCrUS5VV8x,Wed Jul 19 22:57:17 +0000 2017,0
36,"Don't settle for zero, make SquareX your browsing hero! Our Chrome extension’s high-speed browser makes browsing over poor internet connections a breeze. Try it now: https://t.co/XQ7hcgtiG2",Wed Aug 09 00:35:12 +0000 2023,0
37,"Tue, Aug 8, 2023 @ 11:25 AM 
Northbound Train Between Harmony and Trilby
Estimated Arrivals:

Harmony - 11:27 AM | Horsetooth - 11:30 AM
Drake - 11:33 AM | Prospect - 11:36 AM
Mulberry - 11:39 AM | College - 11:43 AM
N Lemay - 11:46 AM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/KtkxPsq0Ix",Wed Jul 19 22:57:17 +0000 2017,1
38,https://t.co/ZH2sIzkTW8,Tue Aug 08 18:19:48 +0000 2023,0
39,"Mon, Aug 7, 2023 @ 10:05 PM 
Northbound Train At College and Cherry St
Estimated Arrivals:

Linden - 10:06 PM
Lemay - 10:08 PM https://t.co/7aw5kP2Pdf",Wed Jul 19 22:57:17 +0000 2017,1
40,https://t.co/NlI2HlaU9s,Tue Aug 08 18:19:49 +0000 2023,0
41,"Mon, Aug 7, 2023 @ 9:52 PM 
Northbound Train Between Harmony and Trilby
Estimated Arrivals:

Harmony - 9:54 PM | Horsetooth - 9:57 PM
Drake - 10:00 PM | Prospect - 10:03 PM
Mulberry - 10:06 PM | College - 10:10 PM
N Lemay - 10:13 PM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/rRCcujxIHJ",Wed Jul 19 22:57:17 +0000 2017,1
42,https://t.co/bc66v2UEgC,Tue Aug 08 18:05:41 +0000 2023,0
43,"Mon, Aug 7, 2023 @ 8:14 PM 
Northbound Train At College and Cherry St
Estimated Arrivals:

Linden - 8:15 PM
Lemay - 8:17 PM https://t.co/qRxpA7TU3I",Wed Jul 19 22:57:17 +0000 2017,1
44,https://t.co/aV6A0YvDFl,Tue Aug 08 18:05:46 +0000 2023,0
45,Why Family First Life? Here is why!,Wed Jul 19 22:57:17 +0000 2017,0
46,"Mon, Aug 7, 2023 @ 8:00 PM 
Northbound Train Between Harmony and Trilby
Estimated Arrivals:

Harmony - 8:02 PM | Horsetooth - 8:05 PM
Drake - 8:08 PM | Prospect - 8:11 PM
Mulberry - 8:14 PM | College - 8:18 PM
N Lemay - 8:21 PM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/l9xgvMDpPq",Tue Aug 08 17:41:20 +0000 2023,1
47,https://t.co/PyowUkaohH,Wed Jul 19 22:57:17 +0000 2017,0
48,"Mon, Aug 7, 2023 @ 8:00 PM 
Northbound Train Between Harmony and Trilby
Estimated Arrivals:

Harmony - 8:02 PM | Horsetooth - 8:05 PM
Drake - 8:08 PM | Prospect - 8:11 PM
Mulberry - 8:14 PM | College - 8:18 PM
N Lemay - 8:21 PM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/l9xgvMDpPq",Wed Jul 19 22:57:17 +0000 2017,1
49,"Mon, Aug 7, 2023 @ 1:42 PM 
Southbound Train Between Harmony and Trilby
Estimated Arrivals:

Trilby: 1:43 PM | W 57th St: 1:53 PM
W 29th St: 1:58 PM | W 1st St: 2:07 PM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/QBbqeKoFYI",Tue Aug 08 02:00:11 +0000 2023,1
50,https://t.co/k15oVYnu8y,Wed Jul 19 22:57:17 +0000 2017,0
51,"My favorites: bubble candles, a miracle washing machine cleaner, genius silverware storage, and Amazon's most perfect leggings with 70K+ reviews.",Mon Aug 07 19:42:53 +0000 2023,0
52,"Mon, Aug 7, 2023 @ 1:28 PM 
Southbound Train At College and Cherry
Estimated Arrivals:

Mountain: 1:30 PM | Mulberry: 1:33 PM
Laurel: 1:35 PM | Prospect: 1:37 PM
Drake: 1:39 PM | Horsetooth: 1:41 PM
Harmony: 1:43 PM https://t.co/VvJDDAPtwW",Wed Jul 19 22:57:17 +0000 2017,1
53,https://t.co/6LpsbIL6m3,Mon Aug 07 19:42:54 +0000 2023,0
54,"Mon, Aug 7, 2023 @ 12:50 PM 
Northbound Train At College and Cherry St
Estimated Arrivals:

Linden - 12:51 PM
Lemay - 12:53 PM https://t.co/9tjVXp06q5",Wed Dec 24 08:24:14 +0000 2008,1
55,https://t.co/3J4J5pnICf,Sat Apr 29 14:33:16 +0000 2023,0
56,Bug Alert,Wed Dec 24 08:24:14 +0000 2008,0
57,"Mon, Aug 7, 2023 @ 12:04 PM 
Northbound Train At College and Cherry St
Estimated Arrivals:

Linden - 12:05 PM
Lemay - 12:07 PM https://t.co/3CKBq1Sk9g",Wed Jul 19 22:57:17 +0000 2017,1
58,https://t.co/7yY4D2dNdo,Mon Aug 07 19:28:23 +0000 2023,0
59,"Mon, Aug 7, 2023 @ 11:18 AM 
Northbound Train Between Harmony and Trilby
Estimated Arrivals:

Harmony - 11:20 AM | Horsetooth - 11:23 AM
Drake - 11:26 AM | Prospect - 11:29 AM
Mulberry - 11:32 AM | College - 11:36 AM
N Lemay - 11:39 AM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/AH0yqfQ4iS",Wed Jul 19 22:57:17 +0000 2017,1
60,https://t.co/V4lF25qsHZ,Mon Aug 07 19:28:30 +0000 2023,0
61,See how Caroline supports her husband Eric’s myeloproliferative neoplasm (MPN) journey by encouraging open and honest communication about the impact of his symptoms. Learn how they work together to speak up.,Wed Jul 19 22:57:17 +0000 2017,0
62,"Mon, Aug 7, 2023 @ 2:58 AM 
Southbound Train Between Harmony and Trilby
Estimated Arrivals:

Trilby: 2:59 AM | W 57th St: 3:09 AM
W 29th St: 3:14 AM | W 1st St: 3:23 AM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/AufIvSGyuy",Mon Aug 07 18:50:13 +0000 2023,1
63,https://t.co/dnLf4EeTuP,Wed Jul 19 22:57:17 +0000 2017,0
64,"Mon, Aug 7, 2023 @ 2:44 AM 
Southbound Train At College and Cherry
Estimated Arrivals:

Mountain: 2:46 AM | Mulberry: 2:49 AM
Laurel: 2:51 AM | Prospect: 2:53 AM
Drake: 2:55 AM | Horsetooth: 2:57 AM
Harmony: 2:59 AM https://t.co/sXVV5efNCa",Mon Aug 07 18:50:41 +0000 2023,1
65,https://t.co/GkHreEqq1A,Wed Jul 19 22:57:17 +0000 2017,0
66,"Mon, Aug 7, 2023 @ 1:22 AM 
Northbound Train At College and Cherry St
Estimated Arrivals:

Linden - 1:23 AM
Lemay - 1:25 AM https://t.co/Gj5cvqt0Wr",Mon Aug 07 18:51:36 +0000 2023,1
67,https://t.co/yd5PU9sBbO,Wed Jul 19 22:57:17 +0000 2017,0
68,"Mon, Aug 7, 2023 @ 1:08 AM 
Northbound Train Between Harmony and Trilby
Estimated Arrivals:

Harmony - 1:10 AM | Horsetooth - 1:13 AM
Drake - 1:16 AM | Prospect - 1:19 AM
Mulberry - 1:22 AM | College - 1:26 AM
N Lemay - 1:29 AM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/6SHjU2QCq0",Mon Aug 07 18:04:23 +0000 2023,1
69,https://t.co/Mow2HiDbop,Wed Jul 19 22:57:17 +0000 2017,0
70,"Building bridge between traditional finance and blockchain technology.

DigiShares' tokenization platform makes it simple and secure to issue, manage, and trade for tokenized securities.

Join the future of #RealEstate investing today. 

#tokenization #investing #blockchain",Mon Aug 07 18:04:38 +0000 2023,0
71,"Mon, Aug 7, 2023 @ 1:08 AM 
Northbound Train Between Harmony and Trilby
Estimated Arrivals:

Harmony - 1:10 AM | Horsetooth - 1:13 AM
Drake - 1:16 AM | Prospect - 1:19 AM
Mulberry - 1:22 AM | College - 1:26 AM
N Lemay - 1:29 AM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/6SHjU2QCq0",Wed Jul 19 22:57:17 +0000 2017,1
72,"Sun, Aug 6, 2023 @ 10:04 PM 
Northbound Train At College and Cherry St
Estimated Arrivals:

Linden - 10:05 PM
Lemay - 10:07 PM https://t.co/4BeL3jQYEM",Mon Aug 07 07:08:25 +0000 2023,1
73,https://t.co/1FcesELR83,Wed Jul 19 22:57:17 +0000 2017,0
74,Discover cannabis companies and the people behind them creating real change. #Cannabis #Insurance #Podcast,Mon Aug 07 04:04:43 +0000 2023,0
75,"Sun, Aug 6, 2023 @ 9:50 PM 
Northbound Train Between Harmony and Trilby
Estimated Arrivals:

Harmony - 9:52 PM | Horsetooth - 9:55 PM
Drake - 9:58 PM | Prospect - 10:01 PM
Mulberry - 10:04 PM | College - 10:08 PM
N Lemay - 10:11 PM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/fKBhgFfLRL",Wed Jul 19 22:57:17 +0000 2017,1
76,https://t.co/gEw6rFf3Xh,Mon Aug 07 04:04:45 +0000 2023,0
77,"Sun, Aug 6, 2023 @ 7:21 PM 
Northbound Train At College and Cherry St
Estimated Arrivals:

Linden - 7:22 PM
Lemay - 7:24 PM https://t.co/ODlTiPyU2n",Tue Jan 10 02:14:59 +0000 2017,1
78,https://t.co/FEWuFCIfDV,Fri Jul 28 03:32:00 +0000 2023,0
79,"Sun, Aug 6, 2023 @ 7:07 PM 
Northbound Train Between Harmony and Trilby
Estimated Arrivals:

Harmony - 7:09 PM | Horsetooth - 7:12 PM
Drake - 7:15 PM | Prospect - 7:18 PM
Mulberry - 7:21 PM | College - 7:25 PM
N Lemay - 7:28 PM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/UFMD5Q1yb7",Tue Jan 10 02:14:59 +0000 2017,1
80,https://t.co/PXyXGHiD2c,Wed Jul 19 22:57:17 +0000 2017,0
81,"Sun, Aug 6, 2023 @ 1:17 PM 
Southbound Train Between Harmony and Trilby
Estimated Arrivals:

Trilby: 1:18 PM | W 57th St: 1:28 PM
W 29th St: 1:33 PM | W 1st St: 1:42 PM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/Wei1u0Q0uL",Mon Aug 07 03:50:38 +0000 2023,1
82,https://t.co/kfHaqxcj3Z,Wed Jul 19 22:57:17 +0000 2017,0
83,"Engineered for people with high blood pressure &amp; cholesterol 😊

This meal plan makes weight management easier.

Most importantly, it’s easy to follow because it’s actually delicious!

Enjoy! 😊",Mon Aug 07 03:50:39 +0000 2023,0
84,"Sun, Aug 6, 2023 @ 1:01 PM 
Southbound Train At College and Cherry
Estimated Arrivals:

Mountain: 1:03 PM | Mulberry: 1:06 PM
Laurel: 1:08 PM | Prospect: 1:10 PM
Drake: 1:12 PM | Horsetooth: 1:14 PM
Harmony: 1:16 PM https://t.co/KwNwxPlRL3",Wed Jul 19 22:57:17 +0000 2017,1
85,https://t.co/kyUZzWDT2n,Mon Aug 07 01:21:43 +0000 2023,0
86,"Sun, Aug 6, 2023 @ 8:07 AM 
Northbound Train At College and Cherry St
Estimated Arrivals:

Linden - 8:08 AM
Lemay - 8:10 AM https://t.co/FWcRmH0ht1",Wed Jul 19 22:57:17 +0000 2017,1
87,https://t.co/WxNlYVS7mS,Mon Aug 07 01:21:44 +0000 2023,0
88,"Sun, Aug 6, 2023 @ 7:51 AM 
Northbound Train Between Harmony and Trilby
Estimated Arrivals:

Harmony - 7:53 AM | Horsetooth - 7:56 AM
Drake - 7:59 AM | Prospect - 8:02 AM
Mulberry - 8:05 AM | College - 8:09 AM
N Lemay - 8:12 AM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/UH3JaAkVoH",Wed Jul 19 22:57:17 +0000 2017,1
89,https://t.co/530ohHbjld,Mon Aug 07 01:08:06 +0000 2023,0
90,"Sun, Aug 6, 2023 @ 1:21 AM 
Southbound Train Between Harmony and Trilby
Estimated Arrivals:

Trilby: 1:22 AM | W 57th St: 1:32 AM
W 29th St: 1:37 AM | W 1st St: 1:46 AM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/Y7EXcT4nX0",Wed Jul 19 22:57:17 +0000 2017,1
91,https://t.co/RtUlGlbOuW,Mon Aug 07 01:08:08 +0000 2023,0
92,Elevate Your Coffee Experience with Boring Brew's Premium Roasts! 🎨✨ Indulge in unique packaging and freshly ground flavors. Order yours today! ☕🛍️ #BoringBrew #ArtisticAroma,Wed Jul 19 22:57:17 +0000 2017,0
93,"Sun, Aug 6, 2023 @ 1:05 AM 
Southbound Train At College and Cherry
Estimated Arrivals:

Mountain: 1:07 AM | Mulberry: 1:10 AM
Laurel: 1:12 AM | Prospect: 1:14 AM
Drake: 1:16 AM | Horsetooth: 1:18 AM
Harmony: 1:20 AM https://t.co/8stYC1zmgz",Sun Aug 06 19:17:51 +0000 2023,1
94,https://t.co/rvTNjMAM94,Wed Jul 19 22:57:17 +0000 2017,0
95,"Sun, Aug 6, 2023 @ 1:05 AM 
Southbound Train At College and Cherry
Estimated Arrivals:

Mountain: 1:07 AM | Mulberry: 1:10 AM
Laurel: 1:12 AM | Prospect: 1:14 AM
Drake: 1:16 AM | Horsetooth: 1:18 AM
Harmony: 1:20 AM https://t.co/8stYC1zmgz",Wed Jul 19 22:57:17 +0000 2017,1
96,"Sat, Aug 5, 2023 @ 11:07 PM 
Northbound Train At College and Cherry St
Estimated Arrivals:

Linden - 11:08 PM
Lemay - 11:10 PM https://t.co/ICAW3Myp86",Sun Aug 06 07:05:29 +0000 2023,1
97,https://t.co/axhbY9NEKR,Wed Jul 19 22:57:17 +0000 2017,0
98,"RT @golfweek: Two Atlanta businesses get support from Mastercard, Capital One Business ahead of Tour Championship. Story from @Mastercard h…",Sun Aug 06 05:07:39 +0000 2023,0
99,"Two Atlanta businesses get support from Mastercard, Capital One Business ahead of Tour Championship. Story from @Mastercard https://t.co/yiBGpr8aWF",Wed Jul 19 22:57:17 +0000 2017,0
100,"Sat, Aug 5, 2023 @ 10:52 PM 
Northbound Train Between Harmony and Trilby
Estimated Arrivals:

Harmony - 10:54 PM | Horsetooth - 10:57 PM
Drake - 11:00 PM | Prospect - 11:03 PM
Mulberry - 11:06 PM | College - 11:10 PM
N Lemay - 11:13 PM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/bDJYNnA5xI",Sun Aug 06 05:07:40 +0000 2023,1
101,https://t.co/Idu7xtTAd3,Mon May 09 17:14:32 +0000 2016,0
102,"Sat, Aug 5, 2023 @ 10:26 PM 
Northbound Train At College and Cherry St
Estimated Arrivals:

Linden - 10:27 PM
Lemay - 10:29 PM https://t.co/XouGH1X8Ou",Fri Aug 18 21:32:33 +0000 2023,1
103,https://t.co/V14hzQU4qe,Thu Apr 02 19:55:47 +0000 2009,0
104,"Sat, Aug 5, 2023 @ 9:57 PM 
Northbound Train Between Harmony and Trilby
Estimated Arrivals:

Harmony - 9:59 PM | Horsetooth - 10:02 PM
Drake - 10:05 PM | Prospect - 10:08 PM
Mulberry - 10:11 PM | College - 10:15 PM
N Lemay - 10:18 PM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/vq6ez2tItX",Fri Aug 18 20:48:21 +0000 2023,1
105,https://t.co/S5apPGtxi5,Mon May 09 17:14:32 +0000 2016,0
106,"Sat, Aug 5, 2023 @ 1:11 PM 
Northbound Train At College and Cherry St
Estimated Arrivals:

Linden - 1:12 PM
Lemay - 1:14 PM https://t.co/HnNMhgdkbi",Wed Jul 19 22:57:17 +0000 2017,1
107,https://t.co/THc28qaFri,Sun Aug 06 04:52:30 +0000 2023,0
108,"$META's Q1 beat was no surprise for this @MorningstarInc analyst, who remained bullish during peak pessimism. His valuation research &amp; cash flow analysis are right on #TheMoatShow’s premiere. https://t.co/ZXNCorvx28",Wed Jul 19 22:57:17 +0000 2017,0
109,"Sat, Aug 5, 2023 @ 12:55 PM 
Northbound Train Between Harmony and Trilby
Estimated Arrivals:

Harmony - 12:57 PM | Horsetooth - 1:00 PM
Drake - 1:03 PM | Prospect - 1:06 PM
Mulberry - 1:09 PM | College - 1:13 PM
N Lemay - 1:16 PM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/2Dr4la6jSS",Sun Aug 06 04:52:31 +0000 2023,1
110,https://t.co/KBuxLQq66f,Wed Jul 19 22:57:17 +0000 2017,0
111,"Sat, Aug 5, 2023 @ 11:43 AM 
Northbound Train At College and Cherry St
Estimated Arrivals:

Linden - 11:44 AM
Lemay - 11:46 AM https://t.co/dcMiRuKpYs",Sun Aug 06 04:26:27 +0000 2023,1
112,https://t.co/8SNboQn3U7,Wed Jul 19 22:57:17 +0000 2017,0
113,"Sat, Aug 5, 2023 @ 11:29 AM 
Northbound Train Between Harmony and Trilby
Estimated Arrivals:

Harmony - 11:31 AM | Horsetooth - 11:34 AM
Drake - 11:37 AM | Prospect - 11:40 AM
Mulberry - 11:43 AM | College - 11:47 AM
N Lemay - 11:50 AM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/lDMsFQzSP6",Sun Aug 06 04:26:29 +0000 2023,1
114,https://t.co/MB6MWiA1gt,Wed Jul 19 22:57:17 +0000 2017,0
115,"Sat, Aug 5, 2023 @ 7:35 AM 
Southbound Train Between Harmony and Trilby
Estimated Arrivals:

Trilby: 7:36 AM | W 57th St: 7:46 AM
W 29th St: 7:51 AM | W 1st St: 8:00 AM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/6yPXPT4CE8",Sun Aug 06 03:57:21 +0000 2023,1
116,https://t.co/MtaZYQiSf3,Wed Jul 19 22:57:17 +0000 2017,0
117,"Human rights defenders are relying on Bitcoin when their access to financial services is restricted by authoritarian regimes seeking to neutralize opposition.

Help HRF bring this panel to @sxsw in 2024 by voting here: https://t.co/SYHZ3gyxHo https://t.co/jh0nuh3zJj",Sun Aug 06 03:57:23 +0000 2023,0
118,"Fri, Aug 4, 2023 @ 6:22 PM 
Northbound Train At College and Cherry St
Estimated Arrivals:

Linden - 6:23 PM
Lemay - 6:25 PM https://t.co/epng3KiQY2",Wed Jul 19 22:57:17 +0000 2017,1
119,https://t.co/b2rzZ1w67o,Sat Aug 05 19:11:23 +0000 2023,0
120,"Fri, Aug 4, 2023 @ 6:22 PM 
Northbound Train At College and Cherry St
Estimated Arrivals:

Linden - 6:23 PM
Lemay - 6:25 PM https://t.co/epng3KiQY2",Wed Jul 19 22:57:17 +0000 2017,1
121,"Fri, Aug 4, 2023 @ 6:10 PM 
Northbound Train Between Harmony and Trilby
Estimated Arrivals:

Harmony - 6:12 PM | Horsetooth - 6:15 PM
Drake - 6:18 PM | Prospect - 6:21 PM
Mulberry - 6:24 PM | College - 6:28 PM
N Lemay - 6:31 PM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/QdYhKmDLzR",Sat Aug 05 00:22:45 +0000 2023,1
122,https://t.co/dRDDGfFRN1,Wed Jul 19 22:57:17 +0000 2017,0
123,"$META's Q1 beat was no surprise for this @MorningstarInc analyst, who remained bullish during peak pessimism. His valuation research &amp; cash flow analysis are right on #TheMoatShow’s premiere. https://t.co/ZXNCorvx28",Sat Aug 05 00:10:11 +0000 2023,0
124,"Fri, Aug 4, 2023 @ 2:51 PM 
Northbound Train At College and Cherry St
Estimated Arrivals:

Linden - 2:52 PM
Lemay - 2:54 PM https://t.co/73a4fMgkN6",Wed Jul 19 22:57:17 +0000 2017,1
125,https://t.co/VilUF36tra,Sat Aug 05 00:10:12 +0000 2023,0
126,"Fri, Aug 4, 2023 @ 2:37 PM 
Northbound Train Between Harmony and Trilby
Estimated Arrivals:

Harmony - 2:39 PM | Horsetooth - 2:42 PM
Drake - 2:45 PM | Prospect - 2:48 PM
Mulberry - 2:51 PM | College - 2:55 PM
N Lemay - 2:58 PM

LIVE FEED: https://t.co/HCl5FXYqk9 https://t.co/hY5NI3rxB2",Fri Dec 09 18:54:54 +0000 2011,1
127,https://t.co/6RWmPmgdKb,Tue Nov 13 21:43:46 +0000 2007,0
